,authorMeta.id,authorMeta.verified,commentCount,diggCount,downloaded,hashtag.name,musicMeta.musicAuthor,musicMeta.musicName,playCount,shareCount,videoMeta.duration
0,6825540583826768902,False,68,3710,True,,Pop Smoke,Element,44800,50,15
1,6729292817489986566,False,936,55700,True,,rapidsongs ,Without Me,838100,1817,11
2,6791901371429913601,False,27100,936200,True,tiktok,Sigurd Barrett,Pilfingerdansen - Remix,15300000,21100,19
2,6791901371429913601,False,27100,936200,True,viral,Sigurd Barrett,Pilfingerdansen - Remix,15300000,21100,19
2,6791901371429913601,False,27100,936200,True,fyp,Sigurd Barrett,Pilfingerdansen - Remix,15300000,21100,19
2,6791901371429913601,False,27100,936200,True,iphone,Sigurd Barrett,Pilfingerdansen - Remix,15300000,21100,19
2,6791901371429913601,False,27100,936200,True,test,Sigurd Barrett,Pilfingerdansen - Remix,15300000,21100,19
2,6791901371429913601,False,27100,936200,True,bend,Sigurd Barrett,Pilfingerdansen - Remix,15300000,21100,19
3,6574079584262094854,False,143,12900,True,,Noah,Justin Timberlake - Mirrors,94900,197,13
4,6586854399372394498,False,52,8805,True,tiktok教室,Mj.无名氏,原聲,115300,198,22
4,6586854399372394498,False,52,8805,True,tutorial,Mj.无名氏,原聲,115300,198,22
5,6828136153255592966,False,2732,343000,True,volleyball,Sam Smith,Diamonds,2800000,2846,29
5,6828136153255592966,False,2732,343000,True,volleyballlove,Sam Smith,Diamonds,2800000,2846,29
5,6828136153255592966,False,2732,343000,True,volleyballworld,Sam Smith,Diamonds,2800000,2846,29
6,6879814870579512326,False,4,227,True,,🌹Rosalie🌹,origineel geluid,62200,0,11
7,6807032812786156550,False,354,4326,True,timewarpscan,Moonpie,original sound,81200,201,9
8,181232554367254528,False,54,734,True,keşfet,Imagine Dragons,Believer,8071,1,15
8,181232554367254528,False,54,734,True,tiktok,Imagine Dragons,Believer,8071,1,15
8,181232554367254528,False,54,734,True,turkey,Imagine Dragons,Believer,8071,1,15
8,181232554367254528,False,54,734,True,kadın,Imagine Dragons,Believer,8071,1,15
8,181232554367254528,False,54,734,True,erkek,Imagine Dragons,Believer,8071,1,15
